ivar;eletkor.honap;testomeg.kg;tunet;kondicio
0;17;10.6;0;3
1;75;11.0;1;2
1;53;15.0;0;4
0;48;18.0;1;5
0;96;16.5;1;4
1;96;11.2;0;2
0;60;15.8;1;3
1;36;11.0;0;3
0;95;12.0;1;3
0;63;16.5;1;3
1;84;12.7;0;3
1;48;12.2;0;3
0;90;18.0;1;4
0;96;18.1;1;4
1;61;12.0;0;3
0;84;12.2;1;3
1;30;11.6;1;2
0;90;16.7;0;5
1;53;14.0;0;3
1;30;10.7;0;3
1;51;9.7;0;2
1;51;11.5;0;3
1;63;13.4;1;3
1;72;14.0;1;3
0;25;11.6;1;3
0;86;16.3;1;4
0;54;15.7;1;3
0;30;10.8;0;3
1;30;10.4;0;3
1;51;10.5;0;3
0;96;17.0;1;5
0;42;12.0;1;3
1;96;10.2;0;2
1;66;10.5;0;2
0;48;15.7;0;4
0;25;10.3;0;2
1;60;12.8;0;3
0;101;14.1;1;3
1;61;12.4;0;3
0;44;15.5;1;4
1;72;10.6;1;3
0;54;15.8;1;4
1;26;9.0;0;2
