label;cim;poem
babits;A bús rom; Ki tesz,  ki vesz, s igaz vigaszt talál a tettben, boldog az, ha tűrt is, boldog mindig az: de én, szegény, csupán tunyán búsulok s pusztulok csunyán, búsulva elveszek korán. Bár kincs, ha nincs: arany, ha van: dúsabb, kinek fájdalma van csak az, csak az vigasztalan, akin  a kin  nyomot nyomott s úgy hagyta őt, mint egy romot, úgy hagyta, mint egy bús romot. 1906. febr. 
babits;A gonosz hortenziák; (Villa Leoncavallo, Lago Maggiore.) Mint nálunk az orgonák, ugy sövényzik itt a kertet a gonosz hortenziák. Milyen gazdag és buja ez a sok hortenzia! Kékjük, ahogy elhajolnak, mint az esti égnek kékje, bágyadt rózsaszínbe olvad. Elhajolnak, mert a nyár virágának vége már, bár a bokrok, bár a fák nem törődnek novemberrel, megtartják a szép ruhát, és az ég is csupa kék s mint öröktüz, a nap ég és a termés csupa tarka s mindig friss vérrel hasad a gránátalmáknak ajka. Ki bocsátja meg nekem ezt a kéket az egen? és a földön ezt a zöldet? és e vén nap telhetetlen lángját, és a sok gyümölcsnek buja husát, jó izét? s a szikrázó tó vizét? a felhőt, mely vertarany? s a gonosz hortenziáknak szépségét hogy céltalan? Hogy adok majd otthon számot a sok lombjavesztett fának? Óh pazar, hiú világ! Vezekeljetek helyettem, hervadó hortenziák! 
babits;Darutörpeharc; Mikor uj évszak szele rebben, hajnal hamukárpitja lebben, új szürkeség ó szürkeségben, jönnek, jönnek darvak a légben. Jönnek óriás, csőrös ékben, jönnek, jönnek darvak a légben, szárnyuk csapása szelet zúgat, mély hangjuk búsan messze krúgat. Csőrük iránt viszen az útjuk, de honnan jönnek, sohse tudjuk, nyakig a lábuk légbe lábol... tán Afrikából, Afrikából. Halld a csodát, amit ma láttam: a daruharcot szemmel láttam, a barna föld hűs meztelenje nesztelen éledt elevenre. Hol láttam? kérdezed, hiában, Tán Thrákiában, Thrákiában: a pygmaeusok törpe népe darvak hadának állt elébe. Honukat védni ébredének földi fickók, pöttön legények, s sűrű dárdát szegezve jönnek: nézhetnéd óriási sünnek. Zúgnak a nyílak és a szárnyak: csatára, hej! csatára szállnak, mint égi felhők, földi árnyak, árnyat, felhőt összekuszálnak. Sötét parton világos pontok, tépett tollak és törött csontok: feledve harcok, honfigondok, nyugosznak most a kis bolondok. 
babits;Délszaki emlék; Olyan meztelen volt az ég fényes köldökével, a nappal akár egy szemérmetlen őrült, ugy ünnepelte önmagát. A kába tó fehéren izzott s ugy hullt rá a fekete hegy bozontosan kacagtak véres foggal a gránátalmafák. Guruló, tüskés gesztenyék csiklandozták a buja föld néger husát a fény sötétkék nyelvei nyalták a tarajt, hol az erdőtüzek kiégett tarlói ujravörösödtek, mint napvaditó lobogók s most a nap egy végsőt rivalt s egyszerre meghalt s akkor oly csönd lett egyszerre, s oly sötét és olyan hideg hogy vacogott a nőkön a bolyhos, puha sál, vacogtak a bolyhok és rojtok ür hullt az ég és föld közé, magasba szökött föl az ég s a mélyben meglapult a táj, mint szükölő vadállat. Én is összehuztam galléromat s ugy néztem az idegen ürbe mint a bujdokló bujdosók, ha veszélyes tisztásra buknak... Kezem kezedben lüktetett. Remegtünk, mint két gyáva bajtárs egy part élén hol nincs bozót, nincs fedezék... Előbb-utóbb szembe kell nézni a halállal, dobolta egy bolond ütér, mig a társalgás elakadt. Ideges, ijedt és pici csillagok cincogtak az ürben s egy reflektor hideg tüze karmolta simán a tavat. Mint régi társak, kikre már a halál is duplán les, álltunk az éjben mely oly hüvösen tagadta forró nappalát, a messze, forgó ég alatt, melyre reggelig új lemezt csavart a nap, hogy tarka táncát folytassa a sodrott világ. 
babits;Detektivhistória; Látod az autót -- az autót az éjben? Hat detektiv ül benne... jönnek értem... Mikor ott guggoltam a kassza előtt, s jaj, hangtalan gyémánthegyü fúró fúrt -- s a lámpa sárga sáva mint arany kard, a sötétben, a résben, kotort, kapart, keskenyen, élesen -- Látod az autót? most kanyarul, suhanva, kéjesen az úthajlásnál -- ránk vakít két tűzszeme az éjben -- Látod az autót? Itt van amitől féltem: két fénycsápját löveli fehéren előre -- nagyszerű ez! Fenét félek már! Tudod, barátom, lassankint minden csak mozi lesz Mikor ott guggoltam a kassza előtt s fúrt a masinám, akkor is így volt már... modern csudák, peregve, simán, tudod, a páncélszekrény, a rekeszes lámpa, a gép... és aztán a ház maga, ablakok az éjben, ujj, de szép! hat emelet, lifttel, beton fal, acélplafon -- benn rémlő bőrfotelek, leakasztott telefon: mind, mind mozi csak -- látod, itt van már -- mit remegsz, fiam? Mondom neked, elmegy mellettünk, elsuhan, fénye fátylába vakulva -- most! -- úgy-e mondtam? -- Láttad, amint feszülten ült benn a hat, s a revolverét tapogatta mind: ők félnek! -- kacagj hát! -- Mit remegsz? Jobb volna talán a fronton? -- Piszt! Most ott kanyarodnak a part falán -- Most -- Zsupsz! -- Ezt jól csináltuk, ugy-e? No fiam, kacagj! Hm, urak, jól esik a fürdő? Minden mozi csak! Veszély? Mi az?! Elmegy, elsuhan. -- Jobb volna talán a fronton? Ölik egymást, millió bolond! Mi gondod, és mi gondom? 
babits;Divina machina; Van e földön sok lehetség, sok borzasztó gondolat, melytől fázik gyenge hátad, égre lázad gyér hajad van e földön (s egyre több lesz) sok véletlen Vakeset, mely akár egy őrült isten zúzza kínra szívedet gondolat, amellyel élni egymagában hősiség csoda, mely már lehetetlen, puszta álma is kisért: de legszörnyübb gondolatnak, legborzalmasabb csoda az hogy nincs csoda a földön, az hogy nem lehet csoda. Hős vagy ember, mái ember, ki e gondolattal élsz, hős mert élsz és nem vársz semmit, hős mert élsz és nem remélsz. Ó ha sikerülhet olykor minden társaságtól válnod s nincsen nyitva könyv előtted, s nincsen gondod s még sincs álmod (hogyha könyved, gondod, álmod, társaságod a magány, akkor tudsz csak önmagadról, akkor élsz csak igazán) nem roskaszt-e akkor össze ennek a gondolata: az hogy nincs csoda a földön, az hogy nem lehet csoda? Az hogy semmi, semmi, semmi nem történhet, semmi uj, nap jön éjre és tavasz jön télre válhatatlanul az hogy vergődhetsz örökké, falba fejed verheted, mégsem fog történni más mint ami rég megirva lett az hogy sínek vannak rakva a világkerék alá s nincsen semmi, nincs erő mely sínéről kihajtaná az hogy e világ egy fád gép, lázadásra ostoba az hogy nincs csoda a földön, az hogy nem lehet csoda. Elfeledtet tán egy percre jóltevő gond, társaság könyv, bor, álom képzeletre fest talán hamis csodát de magadba, öntudatban, magadé és szabadon, "Mind hazudság!" - igy kiáltasz temetősdi ágyadon - "Mind hazudság! nincs szabadság! csupa rabság életünk sors pórázán, buta bárány, vágóhidra mehetünk, egy uton csak: nincs választás! s türhetetlen kaloda az hogy nincs csoda a földön, az hogy nem lehet csoda." Ok és Kényszer, két borzasztó, istenek közt óriás ül e bús buta világon, buta bús lidércnyomás s ha csak moccan rab világunk, már fején e fene két óriásnak érzi nyomni halhatatlan fenekét. - S hogyha kérdezné az Isten: "Világ, mért van rajtad átok? Nemde minden jót megadtam? Béna lelkek mit kivántok?" azt kellene válaszolnunk (jaj, hogy nem lehet soha!): "Adj Uram csodát csak egyszer! egyszer csak legyen csoda!" 1910 
babits;Dobszó; Zsindelytetős régi háznak voltam gyermeke. Vad szobákban lapultam mint fogoly őzike. Rám ezer zöld szájjal éhen ásított a kert. Úgy utáltam az unalmat! pedig az nevelt... Az fogott kézen, az csalt a bokrok indián sátrába, az hajókázott fenn a kajszifán, s elvitt a félszerbe hol a hullós sárfalat támasztotta két dőlt szán a hosszú nyár alatt. Nyáron a telet kívántam, télen át nyarat: ojjé, nyáron ülni szánban, télen lomb alatt! Padlásra is velem jöttél, nyájas unalom, mert engemet te vezettél, mint mást a nyomor. Te nem voltál olyan meleg, sokkal hidegebb: kíváncsian forralgattad félénk szívemet. Zsufa polcok háta mögött kék ujjad kotort, vén könyveket nyitottál és lefújtad a port: mint ki cellafalban apró ablakot kitár és váratlan szárnyveréssel becsap egy madár vagy bukkanna sziklák közt egy bűvölt, furcsa táj: nyárba vendég télnek arca nézne, télbe nyár... Mindig jóbarát-arccal néz ami messze van, csak a saját hazánkban vagyunk mi hontalan. Azért perget egyre marsot szívünk mint a dob, melynek nyugtalan verője mint két láb topog. Óh lovacskám, vad dobom, mit topogsz egyhelyütt? Fáj a bolond sarkantyú, mely két oldalról üt? Üt, az egyikkel a nyár üt, másikkal a tél, az egyikkel üt a nappal, másikkal az éj. Volt-dajkám, az unalom, zokogva elmaradt: vesszőt futunk, s lehullunk az ütések alatt. 
babits;Doping; Ha szólok, zengés lesz a hangból, mely váratlan-messzire hallik ha lépek, léptem szökelés: hirtelen elvisz társaimtól ha kezem nyujtom, csupa fájó, titkolt, csodás sebekhez érek s ha csókolok, ha csókolok, csókom holtig-nyűgöző bélyeg. Melyik isten dópingol engem, hogy csodája legyek magamnak és ennen mozdulataimtól mintegy idegentől riadjak? Mint a kávéval megitatott paripa, térdeim zsibognak: ki vagyok én? s hová jutok? úgy vágtatok, mint a halottak. Óh élet nyüge, végy körül! ne hagyjatok, drága barátok! mert oly testvértelen mezőbe hajt előre az ittas átok! s ha, mint túlhúzott óra, szívem a cél előtt pattanva öl meg, gúnyol majd az üres gyep: mint ki egy nagy nász-ágyon maga hal meg. 
babits;Dzsungel-idill; Jer ki, kedves, az esőtől minden újra friss. Láttad, hogy kinyilt a másik georgina is? Ne nevess! Csak pár szál virág tipeg körülünk: de legalább mindeniknek külön örülünk. Hajdan rengetegbe vágytam, legiónyi vén góliát fa sürüjébe, kicsi Dávid én. Érzéssel fújtam tanítóm csitri dallamát: Árnyas erdőben szeretnék élni nyáron át! De ma lásd, oly rémes erdő zaját hallgatom, s ennen életem mögöttem olyan vak vadon! Éjjel is magába húz egy ingó sűrüség, hol az ijedt álom jár és zsombékokra lép. Jer hát, jó itt csöpp kertünkben, mely ma újra friss! Örülj, hogy kinyílt a másik georgina is. Nékem ez a pár fa-alja époly dús világ, mint a legnagyobb erdőség, élni nyáron át. Fű között szemem ha lát egy pöttöm bogarat, vele megy veszélyes útján, dzsungele alatt, s tudja, mily tér egyik diófától másikig, hol ezer csoda burjánzik, ezer rém lakik. Sohsem ér a kert végébe. Elég messzeség elérni a ránkborúló levelek közé, amik olyan illatosak és keserüek, mint e nyár, melyet alattuk élni jó veled. 
babits;E komor június havon; E komor június havon mely mord akár a november, emléked mely tájakra von, te mord novemberi ember? Emlékszel, egykor, mint folyott pünkösd két napja vidáman, s az örömökre, miket ott alig vettél vala számon. Keresd most őket együvé, mint gyöngyszemeket, ha szerte elhulltak, mert gyerek füzé, ki újra szerteseperte. A Sors a játékos gyerek, ki gyöngyszemeid zsinorját elvágta: s most pereg, pereg... Ki lelheti régi sorját? Szeretted mindig a jövőt: de most imádod a multat. Miből van, látod a jövőt: csupa multból, megtanultad! Nézz hát a multba, és a jót a multból éld a jövőbe: hányd-vesd a lelked, mint hajót hányja takács a szövőbe. Kergesse multba és megint kergesse jövőbe lelked emléked motollája, mint hajót a takácsé kerget: így lesz oly szőnyeg életed, melyben a szálak, a színek összefonódnak élveteg, úgy mint versedben a rímek. 
