label;cim;poem
csokonai;A bátortalan szerelmes; Remény s kétség között epesztem Édes kínok közt magamat. Most feltalálom, majd elvesztem Lillát s belső nyugalmamat.  Ha látom őtet, felhevűlnek Rabbá-esett érzéseim Ha eltávozik, hanyatt dűlnek Tornyodzó reménységeim.  Imádandó kegyes képének Mindennap temjénezhetek: De egy nyájas kis istennének Tekintetére reszketek.  Erről bátorít, arról ijjeszt A tisztelet s a szerelem A szív emel, az éj lesijjeszt. Óh, csiklándozó gyötrelem!  Lelke kegyes de negédjétől Ójjatok, irgalmas egek! Szava nyájas de egy nem -jétől, Mint a haláltól, rettegek.  Szeme, mint élet csillagzatja, Boldog napra hív engemet Mégis, mint a villám, meghatja És öszverázza szívemet.  Édes mézharmattal kecsegtet A nyíló rózsa ajjakán: De hátha még halált csepegtet Szívemre, hogyha meg nem szán?  Óh, értem teremtett szép lélek, Hogy szívem ki nem önthetem! Tőled reménylek, tőled félek: Terád van bízva életem.  Piros orcádnak rózsájára Ámor új-új pecsétet nyom, Hószín kebled liliomára Lehellte az én fátumom!  De kit bélyegzett ki színedre? Mék az a boldog valaki? S felőlem mit fuvalt mellyedre? Halált vagy életet? mondd ki!  De kímélj s adj erőt szívemnek, Ah, gyengén szólj sorsom felől: Mert akármit végzesz fejemnek, A kín vagy az öröm megöl. 
csokonai;A dél; Felhágott már a nap a dél hév pontjára, Egyenesen omlik lefelé súgára. Tüzesűl a bágyadt levegőég s hevűl Felforrott az egész természet merevűl. A barmok terepély cserfák alá mennek, Híves árnyékjokban kérődzve pihennek. A madarkák csüngnek a híves lombokról Leszáradt a nóta eltikkadt torkokról. Az útazó, ki már csak alig lehellett, Óltja szomját a hűs forrás vize mellett. A lankadt arató ledűl izzadt fővel, Hogy majd dolgát kezdje megújúlt erővel. Csupán csak a munkás apró méhek dongnak, Széjjel az illatos réteken zsibongnak. Csupán csak az apró bokrocskák tövében Zeng a zörgő prücsök a nap melegében. A rezzent gyíkocska a gaz között csereg, Megáll, liheg, száraz torokkal sziszereg. Sok száz szöcske ugrál pattanó lábain A hévtől elaszott fűveknek szárain. Egyebek mind híves helyeken pihennek, A dél forró heve elől félre mennek. Alusznak még magok a híves szellők is Eltikkadtak a nap hevétől tán ők is. Csak némely enyelgő zefirek játszanak, Melyek a levelek alól kiugranak, Cicáznak kerengő szárnnyal a bokrokon, Lassan elenyésznek a liliomokon. Jertek ki, óh nyájas fúvallatok, jertek, Kik az ambróziás rózsák közt hevertek Bújjatok ki bársony ágyából, bújjatok, Elbágyadt kebelem piheg utánatok Szedjetek mennyei illatot, szedjetek, E vídám gesztenye alá úgy jőjjetek. 
csokonai;Az álom leírása; Mindennél jobb hír vagy, óh, te édes estve, Nyúgodalom képe melybe van lefestve! Édes szenderedést mert ez mutogatja, Mély álom szelével a bajt elmúlasztja. E' pihenteti meg a törődött testet, Az ember képére új életet festet, Mert fáradtság miatt bár halálra szálltak, De álom vitézi azok ellen álltak. Akik egész napot nyughatatlansággal, Testeket gyötörik a sok fáradsággal, S ha munkájok után testek kezd lankadni, Oly orvos az álom, mely erőt tud adni. Akire szunnyasztó mákját bőven ejti, Fáradtsága terhét az könnyen felejti Akiknek szíveket a bú általjárta, Az öröm reményét már tőle elzárta, Csupán álom által tér meg minden vére, Kívánt nyugvás után tér meg erejére. 
csokonai;Az álomhoz; Soká jön erre Lilla, A hitszegő soká jön. Jer addig, édes álom! Jer, e setét lugasról Hints mák-olajt szememre, Fedezz be kárpitoddal S a gondokat fejemről Legyezd le szárnyaiddal. De ha eljön a leányka: Sem mák-olaj, se kárpit Nem kell, magad se kellesz Csak menj el, édes álom! Elmúlatunk mi ketten. 
csokonai;Az alvó Lilla felett; Nyúgodj csendességgel Itten, szép nimfa! Ládd, mely büszkeséggel Véd e boldog fa  Vágyva árnyékozza Téjszín kebledet, Mely duplán boltozza Márvány szívedet.  Két szemed héjjában Éltem s holtom áll. Csendes árnyékában Álom s Ámor hál  Mindkettő szemedre Rózsaláncot fűz Nyugodj csak kedvedre. Nyugodj, drága szűz!  Szép virágszálocska Mind terűlj alá! Híves árnyékocska, Szállj lebegve rá!  Édesítsd nyugalmát, Tiszta csergeteg! Jőjjetek: jutalmát Vénus adja meg.  Kis Zefir mellyére Csendesen borúlj, Félfedett csecsére Gyenge szárnnyal fújj  Sőt ha tudsz, lelkébe Bújj egészen bé S tudd meg, hogy fektébe Rólam álmod-é?  Nem! - Magam vizsgálom, Mit gondol most ott, Vonj szemére, álom! Dupla kárpitot,  Játszodtasd altába Kedves képekkel, Vidd Idáliába, Hogy ne keljen fel. -  Mennyi ösvényemben A tövisk s haraszt! Majd ropog mentemben: Ámor! szedd fel azt...  Ah, mely édes ízzel Alszik kincsem itt! - Pinty, pacsirta, csízzel... Majd felserken... Csitt! 
csokonai;Az alvó Lillára; Ti hűvösös szellőcskék, Fuvaljatok, de gyengén, Lassan lehempelyegve Buzogjatok, folyócskák, Ti jószagú virágok, Lehelljetek nepentét. Csitt! pásztorok s leánykák, Ezen berekbe nyugszik Elszenderedve Lillám. 
csokonai;Az anákreoni versek; "Vad jámbusid, barátom! Hadd zengjenek szerelmet." Így szóla Árkilok-nak Anákreon szelíden. De ő saját szülöttit Nem engedé szerelmes Dalokkal elpuhítni.  E szóra öszvezajdúl A két öreg poéta. Közzéjek ugrik Ámor S apróra tépi mérges Jámbussit Árkiloknak. Ambróziába mártja, Szerelmivel behinti Liéus is, leszállván, Máslásba megfereszti.  Mind felszedé örömmel Anákreon magának S mindjárt boros, szerelmes Dalokra verte őket. Énnékem is belőlök Egy-két csomót ajánlott Bor és szerelmetesség Csepeg belőle, látod. 
csokonai;Az aratás; Mi az oka, hogy most a dolgos Céresnek Munkásokat széjjel zsibongva keresnek? Mi az oka, hogy a mezőn köröskörűl A Céres bérese kaszákat köszörűl? Köszöntvén tudnillik a megőszűlt nyarat, Sárga kalászi közt reménységgel arat. Áldja nevét százszor a jó Teremtőnek, Hogy főldjébe arany szinű fejek nőnek. De addig is, míg tart szíve áldozatja, A búza-markokat sűrűen forgatja, Az öreg Céresnek két feltűrött karja A markokat szoros kévékbe takarja, És ámbár tüzei a kékellő égnek Kettős forrósággal feje felett égnek, S barázdás homlokát az izzadság árja Legörgő cseppjével sorjába eljárja, Víg aratóit (mert ő azoknak atyja) Tréfás szavaival szűntelen biztatja. Ekkor, hogy a piros, várt napenyészetnek Altató zefiri feléje sietnek, Ő is most már lassúlt, de hajdan vitézi Lépésit a hazamenésre intézi. 
csokonai;Az árvíz; Terhesedvén az ég felhős oszlopai, Szakadoznak s széjjel válnak nyílásai. Rohanva omolnak az atmosférai Függő tengereknek eláradt habjai.  Minthogy a Jupiter szaggató mennyköve Vastag alkotmányán keményeket löve, Azonban a szelek csatája is jöve, Bömböl a szomszéd hegy fellegtartó töve.  A sebes patakok a víztől áradnak, Sikoltó habjai hánykódva dagadnak, Amely akadályok elébe akadnak, Lerohanásától mind öszveszakadnak.  Bár amely nép a hegy hajlásait lakta, Töltésit a duzzadt víz elibe rakta, Mégis mindent öszvetördelt édes lakta Főldén a mérgesen dúló katarakta.  Kiveszi gyökerét a magos cserfának, Melyek az erősség oszlopin állának, Görgetvén lefelé a hegy oldalának, Nékivitte a már úszkáló csordának.  A barmokat szörnyű örvényibe nyeli, A feldúlt házakat hátára emeli, A kies téreket mélyen bévőlgyeli, Lésznek mindenféle prédáival teli.  Csak azért oszolnak széjjel a fellegek, Hogy a színt megadván gyászszínű szőnyegek, Lássák a sok veszélyt a megborzadt egek Ah! ennek láttára még jobban remegek. 
csokonai;Az éj és a csillagok; Éltemnek fényes hórizonja Dűlt borzadó setétességre, A búk mord éje gyászba vonja, Több víg napom nem száll az égre. Két szép szemecskék engemet Megvígasztalhatnak magok: Űzzétek el hát éjemet Ti, két halandó csillagok! 
