label;cim;poem
dsida;A búvár; Lemerült, felbukott, lebukott, felmerült. Elnyelte a zöld pokol jajgató torka s újból kivetette.  Különös tárgyakat hozott fel: fénylő halakat, királyok koronáját, koldusok sírását, eltűnt világok árnyékait, segélykiáltásokat  ismeretlen, eljövendő órák imbolygó üzeneteit, sűlyedt hajókból árboc-szilánkot, gyilkos szemek bús, beteg fényét, halott menyasszony mosolyát.  Felbukott, lemerült, el sem igen képzelhette másként. A gyöngyhalászok mind kikacagták s hogy mi van a kezében, mi a kincs, honnan hozta és miért, maga sem tudta meg soha. 
dsida;A kis piktor beszéli; Ezer virágzás, ezer álom, ezer szín táncol palettámon.  Hódító egész világ ellen: művész vagyok. - De nincs modellem.  Beszélnek rólam: "Egyszerű kicsi piktor és kékszemű,  haja gesztenyeszínű, göndör. Néha búsul és néha flörtöl.  A csókja jó és csókra kész, de modellt állni? - az nehéz.  Nincs nála pénz, nincs nála víg tor. Szegény, szegény a kicsi piktor."  És énbennem csak zeng az álom, színek tobzódnak palettámon.  Fojtott sírástól reng a mellem: nem dolgozhatom! Nincs modellem!  Karzatról nézem tüllön át a kis szubrettek idomát,  mulatókban és utakon a rejtett Szépet kutatom  nyomortanyákon meglesem, amint könny pereg csendesen  néha órákig szóval tartom a koldusnőt az utcasarkon.  Komoly arcomat gyakran látja szelíd nővérek szűzi fátyla,  s hol a kis mécses lángot áldoz, imádkozom a Madonnához.  ...S műtermemben egy délutánon zsongani kezd a sok-sok álom,  a könny, a csók, az ima-hang összecsendül, mint kis harang,  százfelől lopott halk mosoly modell-alakká összefoly:  csoda vibrál vásznam előtt - ...és mégis megfestem a Nőt. Szatmár, 1926. augusztus 
dsida;Falusi versek;  I.  A mezők finoman rezegnek. A fekete ég ma éjszaka sem hasad ketté, mint a rozsdavörös trombitaszó hirdeti folyvást.  Világoskék a hó, az országút fölött ezüsthullám viharzik. Aki rálép, magától repül kedveséhez, ragadja a fény.  Mennyi fenyő törik le ropogva! Mennyi szép pásztorleány tűnik el: mosolyuk még világít gyengén s aranyhajuk utánuk füstöl.  De én csak itt maradok. Arcom fehér, mint a titok, mely mindig holnap lesz eljövendő. S ujjaimból kiserked a vér.  II.  A kovácsműhely előtt narancsvörös a hó: odabent emberek kalapálnak ropogó lánglobogásban. És fenyőágat szagolok, úgy megyek átal ezen a bolond falun, üvegcsengőkkel csilingelek, szeretek és csodálkozom. Mindig vendégem van, aki izgat, akit nem látok s akinek ujjongok, mint a tél örömének. Ha eloltom a lámpát, tele van, tele van csillaggal a szobám. Abafája, 1929 
dsida;Fáradt harcosok éneke; Horpadt a fej, korhadt a láb. Minek eddig? Minek tovább?  A sáros, véres, szennyes út ezer irányba szertefut.  De jobbra hát? Vagy balra át? Az ember nem leli magát.  Minden sejtje külön sikoly, a tüdejéből vér sipol,  fölötte fák, nyakán hurok és ködburok és ködburok... 
dsida;Fáraók sírja felé; Egyszer megtalálnak. Meg kell találjanak.  Holdas éj lesz a sivatagon. Két karom, ujjaim kimerednek a homokból - Lebontják, ássák a fövenyt és megtalálnak: a szívemet is, a kincsemet is, a titkomat is.  Nyújtott énekkel, teveháton ügetnek velem remegő sugár-szőnyegen Fáraók örök sírja felé. 
dsida;Fázol; Nem fogod megérteni ezt a hangulatot, előre tudom, csak ha összefüggéstelen képeket rajzolok sebtiben, milyen borzasztó, csak akkor érted meg, milyen iszonyú. Ez az én hangulatom, figyelj: előttem egy mozdulatlan kék tó, képzeld el, olyan meredten világoskék, hogy megijedsz, és körül a partján semmi. De mégis: képzelj el egy szikár fát, kiszáradtat a víz partjára gondolj egy agarat, soványat, szárazat, mint a fa. Füttyentesz, de magad is megijedsz: a füttyentésedet magad se hallod, s a kutya nem mozdul, semmi se mozdul. Az ég tiszta, inkább szürkés árnyalatú, de olyan, mint egy kiégett, közömbös ember szeme, a napot ellopta valaki, de azért világos van, mondhatnám erős, sértő a fény. Az első hang belülről szólal meg ebben a csendben, idegen kiállhatatlan hang, csupa hideg e- és i-betűvel beszél, de nem érted. Tíz perccel azelőtt még tudtad, hogy mit akarsz, hová akarsz menni, most meg állsz, mintha ebben a pillanatban érkeztél volna valami idegen csillagról. Sírni nem tudsz, megszorítod a saját kezedet, aztán egyszerre rájössz, hogy fázol. Rettenetesen fázol. Abafája, 1929 
dsida;Fekete köpeny alatt;  I.  A boldogság úgy megy előttem, mint napkeleti bölcsek csillaga, de nem áll meg, de nem áll meg soha Betlehem fölött.  Bölcsesség és derű elbújtak egy nagy fa mögé vándor-kenyerem íze keserű és zsebórám megállt.  S velem suhan ez a nagy árnyék, a halál árnyéka, arcomon egy fekete barázda s kivert királyfi kincse: a mosoly.  II.  Micsoda romok fölött megyek! Füstölgő tanyák, nyikorgó csontváz-karok mutatják a hajnalodó utat.  Kedvesem egy föl-fölcsillanó mosolyát kutatom későn virágzó fagyalbokrok alján s a világ végét rettegem.  Elhagyott templom küszöbén áldom a suhanó halált, ki fekete köpenye alatt megmutatta az életet. 
dsida;Felhők fejedelme; Egy viharterhes éjszakán sötét felhők királlyá tettek, leszálltak hozzám gomolyogva és hódolattal körülvettek.  E viharteljes éjjel óta egyre jönnek a ködcsomók, jön a sok újabb szürke felhő, halk tisztelgés, sok furcsa bók.  S velem maradnak mindörökké, beléjük merül homlokom, ha könyvbe nézek, gépen írok, vagy csilingel a telefon.  Felhő-ország lett az országom. Ködbe veszett a világ képe. Senki sem láthatja az arcom, s én se nézek a más szemébe.  Suttogó, tompult szürkeségben, mely ködpárás verset fakaszt, álmodok távoli országot, kéjremegésű friss tavaszt,  egy részeg, erős szép királyfit, ki napsütésben tántorog... Felhők, felhők, fekete felhők, miért lettem királyotok? Kolozsvár, 1927. április 29. 
dsida;Finita est commedia; Ha nincsen már egetverő kurjantás és izomerő, csak ülni kell és nézni ki, ahogy a szellő repiti a járdán a hullt levelet s az égen a fellegeket.  Csak ülni kell és nézni messze, a Semmi tengerén evezve, seszínü, álmos, néma habban, derengő torkú alkonyatban és azt gondolni, hogy - mese, lidérc, babona, semmi se.  Szellemet, múltat nem idézni. Ha ajtót nyitnak, meg se nézni, csak ülni, mint a holtak álma, fakult verseket recitálva forró nyáron, hideg telen, bámulva és idegtelen... Kolozsvár, 1927. augusztus 
dsida;Fuldoklás;   Bárd Oszkárnak   Hiába tömök zsebkendőt a számba. Nem gyermeksírás az enyém. Korbács. Vér. Töviskoszorú. Sötét gyárkémények vigasztalan kürtölése.  Túlnőtt a fájdalom a hegyeken, a megrémült csillagokon. Iszonyatba-lapult kutyák halálosan vonítanak.  Most cserben hagy az emberi szó, a nyugtató ütem, a mérsékelt zengés. Ó - nem alkotás ez. Csak bámulás a sárga lámpafénybe.  Csak szűkölés, fuldoklás. Egyetlen ordítás. Panasz az egész világnak. Az egész világnak, amelyből nem áll mellettem senki. Galgó, 1930. szeptember 17. 
dsida;Gyakran eljön; Éjjel meglátogatott. Azt mondta: szeret engem. Sok-sok nap óta figyel engem. Szeretne több nevetést látni az arcomon.  Megsimogattam nagy hűvös haját: az szikrázott, mint karácsonykor a csillagszóró.  Meg akartam csókolni. Huncutkásan megfenyegetett.  Aztán megígérte, hogy gyakran eljön. Végtelenné tágult szobámon a puszták illata remegett át, s mi labdázni kezdtünk nagy, zöld csillagokkal. 1930 
dsida;Ha itt volnál; Ha most itt volnál: olyan szívből köszönnél a munkából hazatérő embereknek. Ez az egyenes, csöndes falusi út, két oldalán lombos fákkal, úgy kibékít, úgy megszelidít. Itt csak pár lépésre van mindig a megoldás, csak gyorsabban mennék, biztosan elérném. Ha most itt volnál: apró mondatokból fonnék ruhát hűvös testedre, szelíd és megnyugtató puhaselyem-mondatokból, hogy te légy a legszebb, te légy a legmosolygóbb. S egy égszinkék szót az ujjadra húznék. S egy rózsaszínű szót a hajadba kötnék. 1929. V. 23. 
dsida;A költő feltámadása; Már leng körülötte a gyertya: legyen neki fényes az út. - Fátylat az arcra! - A kézbe keresztet! - Lába elé koszorút!  Bomlad a test már, barnul a hulla, a tömjénfüst gomolyogva kicsap, sírva köhögnek, felnyöszörögnek, torkát köszörüli a pap.  És akkor lám, fölemelkedik Ő. Ajtóhoz tántorog és kimegy Ő. A tártölü fenyves alatt mellébe özönlik a hűs levegő, meghajlik a szirti fenyő, a sok suhogó fa-titán.  S Ő elrohan alkonyi fényben egy lángszinü lepke után. 
